device,order,# samples,# traces,type,time,memory
CPU,2,0,0,missing,0.0,0
CPU,2,10,100000,1 scalar label,0.0017696668578030574,1764944
CPU,2,10,100000,8 scalar label,0.014443328774566474,13323904
CPU,2,10,100000,vec 4 label,0.007086907136170214,11200
CPU,2,10,100000,vec 8 label,0.012748682966836736,11200
CPU,2,10,100000,vec 16 label,0.02450750474509804,11200
CPU,4,10,100000,1 scalar label,0.0024841879970089733,1764944
CPU,4,10,100000,8 scalar label,0.01929662879150579,13323904
CPU,4,10,100000,vec 4 label,0.009341516596261682,11200
CPU,4,10,100000,vec 8 label,0.017322303432525953,11200
CPU,4,10,100000,vec 16 label,0.03436196602054795,11200
CPU,2,100,100000,1 scalar label,0.008867124468916519,2655056
CPU,2,100,100000,8 scalar label,0.07026145169444445,20447872
CPU,2,100,100000,vec 4 label,0.05885899382352942,16864
CPU,2,100,100000,vec 8 label,0.10414779538775511,16864
CPU,2,100,100000,vec 16 label,0.18706164092592595,16864
CPU,4,100,100000,1 scalar label,0.013950557888268158,2655056
CPU,4,100,100000,8 scalar label,0.10726656259574469,20447872
CPU,4,100,100000,vec 4 label,0.07361869038235296,16864
CPU,4,100,100000,vec 8 label,0.13148187425641025,16864
CPU,4,100,100000,vec 16 label,0.25321206285000003,16864
