Device,Order,NSamples,NTraces,NLabels,Time
GPU,2,100,20000,2,0.00118
GPU,4,100,20000,2,0.00138
GPU,8,100,20000,2,0.00184
GPU,16,100,20000,2,0.00242
GPU,32,100,20000,2,0.00405
GPU,2,200,20000,2,0.00229
GPU,4,200,20000,2,0.00275
GPU,8,200,20000,2,0.0035
GPU,16,200,20000,2,0.00482
GPU,32,200,20000,2,0.00807
GPU,2,400,20000,2,0.00452
GPU,4,400,20000,2,0.00554
GPU,8,400,20000,2,0.00717
GPU,16,400,20000,2,0.00942
GPU,32,400,20000,2,0.01606
GPU,2,800,20000,2,0.00895
GPU,4,800,20000,2,0.01078
GPU,8,800,20000,2,0.0143
GPU,16,800,20000,2,0.0187
GPU,32,800,20000,2,0.03198
GPU,2,1600,20000,2,0.01793
GPU,4,1600,20000,2,0.02174
GPU,8,1600,20000,2,0.02748
GPU,16,1600,20000,2,0.03793
GPU,32,1600,20000,2,0.06373
GPU,2,100,20000,4,0.00151
GPU,4,100,20000,4,0.00199
GPU,8,100,20000,4,0.00267
GPU,16,100,20000,4,0.00441
GPU,32,100,20000,4,0.0081
GPU,2,200,20000,4,0.00303
GPU,4,200,20000,4,0.00367
GPU,8,200,20000,4,0.00512
GPU,16,200,20000,4,0.00875
GPU,32,200,20000,4,0.01593
GPU,2,400,20000,4,0.00556
GPU,4,400,20000,4,0.00732
GPU,8,400,20000,4,0.0102
GPU,16,400,20000,4,0.01742
GPU,32,400,20000,4,0.03212
GPU,2,800,20000,4,0.01163
GPU,4,800,20000,4,0.01448
GPU,8,800,20000,4,0.0201
GPU,16,800,20000,4,0.03424
GPU,32,800,20000,4,0.06333
GPU,2,1600,20000,4,0.02314
GPU,4,1600,20000,4,0.02605
GPU,8,1600,20000,4,0.0361
GPU,16,1600,20000,4,0.06328
GPU,32,1600,20000,4,0.11691
GPU,2,100,20000,8,0.00158
GPU,4,100,20000,8,0.00207
GPU,8,100,20000,8,0.00353
GPU,16,100,20000,8,0.00646
GPU,32,100,20000,8,0.01223
GPU,2,200,20000,8,0.00313
GPU,4,200,20000,8,0.00408
GPU,8,200,20000,8,0.00698
GPU,16,200,20000,8,0.01295
GPU,32,200,20000,8,0.0244
GPU,2,400,20000,8,0.00617
GPU,4,400,20000,8,0.00823
GPU,8,400,20000,8,0.0139
GPU,16,400,20000,8,0.02552
GPU,32,400,20000,8,0.04931
GPU,2,800,20000,8,0.01185
GPU,4,800,20000,8,0.01595
GPU,8,800,20000,8,0.02787
GPU,16,800,20000,8,0.05149
GPU,32,800,20000,8,0.09973
GPU,2,1600,20000,8,0.0235
GPU,4,1600,20000,8,0.03354
GPU,8,1600,20000,8,0.05595
GPU,16,1600,20000,8,0.10333
GPU,32,1600,20000,8,0.20051
GPU,2,100,20000,16,0.00188
GPU,4,100,20000,16,0.00297
GPU,8,100,20000,16,0.00539
GPU,16,100,20000,16,0.01023
GPU,32,100,20000,16,0.01992
GPU,2,200,20000,16,0.00368
GPU,4,200,20000,16,0.00589
GPU,8,200,20000,16,0.01066
GPU,16,200,20000,16,0.02033
GPU,32,200,20000,16,0.0401
GPU,2,400,20000,16,0.00735
GPU,4,400,20000,16,0.0117
GPU,8,400,20000,16,0.0213
GPU,16,400,20000,16,0.04128
GPU,32,400,20000,16,0.08261
GPU,2,800,20000,16,0.01439
GPU,4,800,20000,16,0.02331
GPU,8,800,20000,16,0.04347
GPU,16,800,20000,16,0.08458
GPU,32,800,20000,16,0.1659
GPU,2,1600,20000,16,0.02861
GPU,4,1600,20000,16,0.04786
GPU,8,1600,20000,16,0.08945
GPU,16,1600,20000,16,0.17072
GPU,32,1600,20000,16,0.33477
GPU,2,100,20000,32,0.00316
GPU,4,100,20000,32,0.0052
GPU,8,100,20000,32,0.00964
GPU,16,100,20000,32,0.01859
GPU,32,100,20000,32,0.04117
GPU,2,200,20000,32,0.0067
GPU,4,200,20000,32,0.01056
GPU,8,200,20000,32,0.01929
GPU,16,200,20000,32,0.03717
GPU,32,200,20000,32,0.0848
GPU,2,400,20000,32,0.01237
GPU,4,400,20000,32,0.02068
GPU,8,400,20000,32,0.03942
GPU,16,400,20000,32,0.07824
GPU,32,400,20000,32,0.17305
GPU,2,800,20000,32,0.02474
GPU,4,800,20000,32,0.04221
GPU,8,800,20000,32,0.07988
GPU,16,800,20000,32,0.15546
GPU,32,800,20000,32,0.34746
GPU,2,1600,20000,32,0.05086
GPU,4,1600,20000,32,0.08755
GPU,8,1600,20000,32,0.16419
