Device,Order,NSamples,NTraces,NLabels,Time
GPU,2,100,10000,2,0.01286
GPU,4,100,10000,2,0.02785
GPU,8,100,10000,2,0.05152
GPU,16,100,10000,2,0.09925
GPU,32,100,10000,2,0.24429
GPU,64,100,10000,2,0.57961
GPU,2,500,10000,2,0.01647
GPU,4,500,10000,2,0.03545
GPU,8,500,10000,2,0.08051
GPU,16,500,10000,2,0.17619
GPU,32,500,10000,2,0.35811
GPU,64,500,10000,2,0.72361
GPU,2,1000,10000,2,0.01708
GPU,4,1000,10000,2,0.04473
GPU,8,1000,10000,2,0.09505
GPU,16,1000,10000,2,0.19729
GPU,32,1000,10000,2,0.40418
GPU,64,1000,10000,2,0.8087
GPU,2,100,20000,2,0.0237
GPU,4,100,20000,2,0.04878
GPU,8,100,20000,2,0.09415
GPU,16,100,20000,2,0.18089
GPU,32,100,20000,2,0.46338
GPU,64,100,20000,2,1.15
GPU,2,500,20000,2,0.03385
GPU,4,500,20000,2,0.07132
GPU,8,500,20000,2,0.16316
GPU,16,500,20000,2,0.35253
GPU,32,500,20000,2,0.71924
GPU,64,500,20000,2,1.45
GPU,2,1000,20000,2,0.03545
GPU,4,1000,20000,2,0.09072
GPU,8,1000,20000,2,0.18971
GPU,16,1000,20000,2,0.39337
GPU,32,1000,20000,2,0.80944
GPU,64,1000,20000,2,1.63
GPU,2,100,50000,2,0.05957
GPU,4,100,50000,2,0.12935
GPU,8,100,50000,2,0.23487
GPU,16,100,50000,2,0.4579
GPU,32,100,50000,2,1.14
GPU,64,100,50000,2,2.91
GPU,2,500,50000,2,0.08625
GPU,4,500,50000,2,0.18056
GPU,8,500,50000,2,0.41022
GPU,16,500,50000,2,0.88296
GPU,32,500,50000,2,1.8
GPU,64,500,50000,2,3.64
GPU,2,1000,50000,2,0.08795
GPU,4,1000,50000,2,0.22526
GPU,8,1000,50000,2,0.47515
GPU,16,1000,50000,2,0.97995
GPU,32,1000,50000,2,2.02
GPU,64,1000,50000,2,4.06
GPU,2,100,100000,2,0.11484
GPU,4,100,100000,2,0.25401
GPU,8,100,100000,2,0.46874
GPU,16,100,100000,2,0.9036
GPU,32,100,100000,2,2.36
GPU,64,100,100000,2,5.84
GPU,2,500,100000,2,0.17263
GPU,4,500,100000,2,0.35734
GPU,8,500,100000,2,0.81951
GPU,16,500,100000,2,1.77
GPU,32,500,100000,2,3.58
GPU,64,500,100000,2,7.26
GPU,2,1000,100000,2,0.17773
GPU,4,1000,100000,2,0.45504
GPU,8,1000,100000,2,0.95359
GPU,16,1000,100000,2,1.96
GPU,32,1000,100000,2,4.06
GPU,64,1000,100000,2,8.16
GPU,2,100,10000,4,0.02578
GPU,4,100,10000,4,0.04888
GPU,8,100,10000,4,0.09152
GPU,16,100,10000,4,0.23542
GPU,32,100,10000,4,0.58894
GPU,64,100,10000,4,1.25
GPU,2,500,10000,4,0.03246
GPU,4,500,10000,4,0.08354
GPU,8,500,10000,4,0.18021
GPU,16,500,10000,4,0.36363
GPU,32,500,10000,4,0.73227
GPU,64,500,10000,4,1.48
GPU,2,1000,10000,4,0.04573
GPU,4,1000,10000,4,0.09759
GPU,8,1000,10000,4,0.19973
GPU,16,1000,10000,4,0.40509
GPU,32,1000,10000,4,0.81748
GPU,64,1000,10000,4,1.66
GPU,2,100,20000,4,0.0529
GPU,4,100,20000,4,0.09891
GPU,8,100,20000,4,0.18448
GPU,16,100,20000,4,0.48588
GPU,32,100,20000,4,1.17
GPU,64,100,20000,4,2.47
GPU,2,500,20000,4,0.06524
GPU,4,500,20000,4,0.16864
GPU,8,500,20000,4,0.35943
GPU,16,500,20000,4,0.72777
GPU,32,500,20000,4,1.47
GPU,64,500,20000,4,2.97
GPU,2,1000,20000,4,0.09141
GPU,4,1000,20000,4,0.19624
GPU,8,1000,20000,4,0.39589
GPU,16,1000,20000,4,0.81202
GPU,32,1000,20000,4,1.63
GPU,64,1000,20000,4,3.32
GPU,2,100,50000,4,0.13343
GPU,4,100,50000,4,0.24946
GPU,8,100,50000,4,0.46538
GPU,16,100,50000,4,1.21
GPU,32,100,50000,4,2.94
GPU,64,100,50000,4,6.15
GPU,2,500,50000,4,0.16227
GPU,4,500,50000,4,0.42172
GPU,8,500,50000,4,0.90039
GPU,16,500,50000,4,1.82
GPU,32,500,50000,4,3.68
GPU,64,500,50000,4,7.39
GPU,2,1000,50000,4,0.22846
GPU,4,1000,50000,4,0.48766
GPU,8,1000,50000,4,0.99429
GPU,16,1000,50000,4,2.04
GPU,32,1000,50000,4,4.08
GPU,64,1000,50000,4,8.27
GPU,2,100,100000,4,0.27623
GPU,4,100,100000,4,0.49791
GPU,8,100,100000,4,0.934
GPU,16,100,100000,4,2.48
GPU,32,100,100000,4,5.91
GPU,64,100,100000,4,12.56
GPU,2,500,100000,4,0.32943
GPU,4,500,100000,4,0.85056
GPU,8,500,100000,4,1.81
GPU,16,500,100000,4,3.65
GPU,32,500,100000,4,7.38
GPU,64,500,100000,4,14.94
GPU,2,1000,100000,4,0.46437
GPU,4,1000,100000,4,0.98775
GPU,8,1000,100000,4,1.99
GPU,16,1000,100000,4,4.09
GPU,32,1000,100000,4,8.19
GPU,64,1000,100000,4,16.48
GPU,2,100,10000,8,0.0553
GPU,4,100,10000,8,0.09862
GPU,8,100,10000,8,0.24113
GPU,16,100,10000,8,0.59665
GPU,32,100,10000,8,1.25
GPU,64,100,10000,8,2.52
GPU,2,500,10000,8,0.08661
GPU,4,500,10000,8,0.18584
GPU,8,500,10000,8,0.37187
GPU,16,500,10000,8,0.7411
GPU,32,500,10000,8,1.49
GPU,64,500,10000,8,2.97
GPU,2,1000,10000,8,0.10214
GPU,4,1000,10000,8,0.20517
GPU,8,1000,10000,8,0.41195
GPU,16,1000,10000,8,0.82168
GPU,32,1000,10000,8,1.67
GPU,64,1000,10000,8,3.3
GPU,2,100,20000,8,0.10982
GPU,4,100,20000,8,0.1962
GPU,8,100,20000,8,0.48968
GPU,16,100,20000,8,1.2
GPU,32,100,20000,8,2.5
GPU,64,100,20000,8,5.02
GPU,2,500,20000,8,0.17284
GPU,4,500,20000,8,0.37467
GPU,8,500,20000,8,0.74443
GPU,16,500,20000,8,1.49
GPU,32,500,20000,8,2.98
GPU,64,500,20000,8,5.93
GPU,2,1000,20000,8,0.20408
GPU,4,1000,20000,8,0.40791
GPU,8,1000,20000,8,0.82815
GPU,16,1000,20000,8,1.65
GPU,32,1000,20000,8,3.35
GPU,64,1000,20000,8,6.61
GPU,2,100,50000,8,0.27756
GPU,4,100,50000,8,0.49134
GPU,8,100,50000,8,1.25
GPU,16,100,50000,8,2.98
GPU,32,100,50000,8,6.25
GPU,64,100,50000,8,12.58
GPU,2,500,50000,8,0.42977
GPU,4,500,50000,8,0.92159
GPU,8,500,50000,8,1.86
GPU,16,500,50000,8,3.73
GPU,32,500,50000,8,7.44
GPU,64,500,50000,8,14.88
GPU,2,1000,50000,8,0.50134
GPU,4,1000,50000,8,1.01
GPU,8,1000,50000,8,2.05
GPU,16,1000,50000,8,4.1
GPU,32,1000,50000,8,8.3
GPU,64,1000,50000,8,16.5
GPU,2,100,100000,8,0.5591
GPU,4,100,100000,8,0.98549
GPU,8,100,100000,8,2.42
GPU,16,100,100000,8,6.03
GPU,32,100,100000,8,12.5
GPU,64,100,100000,8,25.36
GPU,2,500,100000,8,0.86722
GPU,4,500,100000,8,1.86
GPU,8,500,100000,8,3.72
GPU,16,500,100000,8,7.51
GPU,32,500,100000,8,14.95
GPU,64,500,100000,8,29.65
GPU,2,1000,100000,8,1.01
GPU,4,1000,100000,8,2.05
GPU,8,1000,100000,8,4.11
GPU,16,1000,100000,8,8.24
GPU,32,1000,100000,8,16.59
GPU,64,1000,100000,8,33.13
GPU,2,100,10000,16,0.11364
GPU,4,100,10000,16,0.25228
GPU,8,100,10000,16,0.60606
GPU,16,100,10000,16,1.27
GPU,32,100,10000,16,2.55
GPU,64,100,10000,16,5.08
GPU,2,500,10000,16,0.19407
GPU,4,500,10000,16,0.38597
GPU,8,500,10000,16,0.76961
GPU,16,500,10000,16,1.51
GPU,32,500,10000,16,3
GPU,64,500,10000,16,6
GPU,2,1000,10000,16,0.21845
GPU,4,1000,10000,16,0.42528
GPU,8,1000,10000,16,0.84822
GPU,16,1000,10000,16,1.67
GPU,32,1000,10000,16,3.34
GPU,64,1000,10000,16,6.66
GPU,2,100,20000,16,0.22838
GPU,4,100,20000,16,0.49923
GPU,8,100,20000,16,1.21
GPU,16,100,20000,16,2.57
GPU,32,100,20000,16,5.1
GPU,64,100,20000,16,10.27
GPU,2,500,20000,16,0.38623
GPU,4,500,20000,16,0.77045
GPU,8,500,20000,16,1.54
GPU,16,500,20000,16,3.04
GPU,32,500,20000,16,5.99
GPU,64,500,20000,16,11.87
GPU,2,1000,20000,16,0.44014
GPU,4,1000,20000,16,0.87307
GPU,8,1000,20000,16,1.69
GPU,16,1000,20000,16,3.38
GPU,32,1000,20000,16,6.65
GPU,64,1000,20000,16,13.25
GPU,2,100,50000,16,0.56381
GPU,4,100,50000,16,1.24
GPU,8,100,50000,16,3
GPU,16,100,50000,16,6.38
GPU,32,100,50000,16,12.69
GPU,64,100,50000,16,25.39
GPU,2,500,50000,16,0.95434
GPU,4,500,50000,16,1.91
GPU,8,500,50000,16,3.82
GPU,16,500,50000,16,7.64
GPU,32,500,50000,16,14.99
GPU,64,500,50000,16,29.55
GPU,2,1000,50000,16,1.06
GPU,4,1000,50000,16,2.16
GPU,8,1000,50000,16,4.2
GPU,16,1000,50000,16,8.33
GPU,32,1000,50000,16,16.63
GPU,64,1000,50000,16,33.25
GPU,2,100,100000,16,1.15
GPU,4,100,100000,16,2.49
GPU,8,100,100000,16,6.03
GPU,16,100,100000,16,12.68
GPU,32,100,100000,16,25.43
GPU,64,100,100000,16,50.44
GPU,2,500,100000,16,1.9
GPU,4,500,100000,16,3.82
GPU,8,500,100000,16,7.63
GPU,16,500,100000,16,15.13
GPU,32,500,100000,16,29.85
GPU,64,500,100000,16,59.17
GPU,2,1000,100000,16,2.12
GPU,4,1000,100000,16,4.32
GPU,8,1000,100000,16,8.29
GPU,16,1000,100000,16,16.81
GPU,32,1000,100000,16,33.25
GPU,64,1000,100000,16,66.25
GPU,2,100,10000,32,0.2703
GPU,4,100,10000,32,0.62209
GPU,8,100,10000,32,1.27
GPU,16,100,10000,32,2.6
GPU,32,100,10000,32,5.07
GPU,64,100,10000,32,10.09
GPU,2,500,10000,32,0.4081
GPU,4,500,10000,32,0.79514
GPU,8,500,10000,32,1.56
GPU,16,500,10000,32,3.03
GPU,32,500,10000,32,6.01
GPU,64,500,10000,32,11.91
GPU,2,1000,10000,32,0.47895
GPU,4,1000,10000,32,0.91326
GPU,8,1000,10000,32,1.75
GPU,16,1000,10000,32,3.39
GPU,32,1000,10000,32,6.67
GPU,64,1000,10000,32,13.25
GPU,2,100,20000,32,0.53554
GPU,4,100,20000,32,1.25
GPU,8,100,20000,32,2.52
GPU,16,100,20000,32,5.09
GPU,32,100,20000,32,10.37
GPU,64,100,20000,32,20.12
GPU,2,500,20000,32,0.82645
GPU,4,500,20000,32,1.59
GPU,8,500,20000,32,3.17
GPU,16,500,20000,32,6.08
GPU,32,500,20000,32,11.99
GPU,64,500,20000,32,23.74
GPU,2,1000,20000,32,0.95094
GPU,4,1000,20000,32,1.82
GPU,8,1000,20000,32,3.56
GPU,16,1000,20000,32,6.75
GPU,32,1000,20000,32,13.32
GPU,64,1000,20000,32,26.57
GPU,2,100,50000,32,1.3
GPU,4,100,50000,32,3.11
GPU,8,100,50000,32,6.34
GPU,16,100,50000,32,12.76
GPU,32,100,50000,32,25.29
GPU,64,100,50000,32,50.15
GPU,2,500,50000,32,2
GPU,4,500,50000,32,3.91
GPU,8,500,50000,32,8
