Device,Order,NSamples,NTraces,NLabels,Time
GPU,2,100,50000,2,0.00248
GPU,4,100,50000,2,0.00309
GPU,8,100,50000,2,0.00429
GPU,16,100,50000,2,0.00577
GPU,32,100,50000,2,0.00899
GPU,2,200,50000,2,0.00485
GPU,4,200,50000,2,0.00606
GPU,8,200,50000,2,0.0085
GPU,16,200,50000,2,0.01093
GPU,32,200,50000,2,0.01756
GPU,2,500,50000,2,0.01201
GPU,4,500,50000,2,0.01273
GPU,8,500,50000,2,0.02107
GPU,16,500,50000,2,0.02429
GPU,32,500,50000,2,0.04369
GPU,2,1000,50000,2,0.0239
GPU,4,1000,50000,2,0.02539
GPU,8,1000,50000,2,0.03159
GPU,16,1000,50000,2,0.05237
GPU,32,1000,50000,2,0.08733
GPU,2,2000,50000,2,0.04517
GPU,4,2000,50000,2,0.04793
GPU,8,2000,50000,2,0.05959
GPU,16,2000,50000,2,0.09883
GPU,32,2000,50000,2,0.16266
GPU,2,100,50000,4,0.00282
GPU,4,100,50000,4,0.00447
GPU,8,100,50000,4,0.00546
GPU,16,100,50000,4,0.00894
GPU,32,100,50000,4,0.01698
GPU,2,200,50000,4,0.00554
GPU,4,200,50000,4,0.00677
GPU,8,200,50000,4,0.00986
GPU,16,200,50000,4,0.01768
GPU,32,200,50000,4,0.03432
GPU,2,500,50000,4,0.01317
GPU,4,500,50000,4,0.01671
GPU,8,500,50000,4,0.02558
GPU,16,500,50000,4,0.04449
GPU,32,500,50000,4,0.08644
GPU,2,1000,50000,4,0.02634
GPU,4,1000,50000,4,0.04429
GPU,8,1000,50000,4,0.04951
GPU,16,1000,50000,4,0.08967
GPU,32,1000,50000,4,0.17347
GPU,2,2000,50000,4,0.05333
GPU,4,2000,50000,4,0.08857
GPU,8,2000,50000,4,0.10933
GPU,16,2000,50000,4,0.18087
GPU,32,2000,50000,4,0.34924
GPU,2,100,50000,8,0.00345
GPU,4,100,50000,8,0.00494
GPU,8,100,50000,8,0.00803
