Device,Order,NSamples,NTraces,NLabels,Time
GPU,2,100,10000,2,0.000355
GPU,4,100,10000,2,0.000445
GPU,8,100,10000,2,0.000617
GPU,16,100,10000,2,0.001
GPU,32,100,10000,2,0.001
GPU,64,100,10000,2,0.003
GPU,2,500,10000,2,0.001
GPU,4,500,10000,2,0.002
GPU,8,500,10000,2,0.002
GPU,16,500,10000,2,0.004
GPU,32,500,10000,2,0.009
GPU,64,500,10000,2,0.017
GPU,2,1000,10000,2,0.003
GPU,4,1000,10000,2,0.004
GPU,8,1000,10000,2,0.005
GPU,16,1000,10000,2,0.009
GPU,32,1000,10000,2,0.018
GPU,64,1000,10000,2,0.035
GPU,2,100,20000,2,0.000725
GPU,4,100,20000,2,0.000946
GPU,8,100,20000,2,0.001
GPU,16,100,20000,2,0.001
GPU,32,100,20000,2,0.003
GPU,64,100,20000,2,0.006
GPU,2,500,20000,2,0.003
GPU,4,500,20000,2,0.004
GPU,8,500,20000,2,0.006
GPU,16,500,20000,2,0.009
GPU,32,500,20000,2,0.017
GPU,64,500,20000,2,0.034
GPU,2,1000,20000,2,0.006
GPU,4,1000,20000,2,0.009
GPU,8,1000,20000,2,0.013
GPU,16,1000,20000,2,0.019
GPU,32,1000,20000,2,0.035
GPU,64,1000,20000,2,0.068
GPU,2,100,50000,2,0.002
GPU,4,100,50000,2,0.002
GPU,8,100,50000,2,0.003
GPU,16,100,50000,2,0.005
GPU,32,100,50000,2,0.008
GPU,64,100,50000,2,0.017
GPU,2,500,50000,2,0.011
GPU,4,500,50000,2,0.012
GPU,8,500,50000,2,0.021
GPU,16,500,50000,2,0.024
GPU,32,500,50000,2,0.043
GPU,64,500,50000,2,0.084
GPU,2,1000,50000,2,0.022
GPU,4,1000,50000,2,0.023
GPU,8,1000,50000,2,0.028
GPU,16,1000,50000,2,0.047
GPU,32,1000,50000,2,0.08
GPU,64,1000,50000,2,0.155
GPU,2,100,100000,2,0.004
GPU,4,100,100000,2,0.005
GPU,8,100,100000,2,0.008
GPU,16,100,100000,2,0.01
GPU,32,100,100000,2,0.015
GPU,64,100,100000,2,0.03
GPU,2,500,100000,2,0.023
GPU,4,500,100000,2,0.023
GPU,8,500,100000,2,0.028
GPU,16,500,100000,2,0.048
GPU,32,500,100000,2,0.081
GPU,64,500,100000,2,0.155
GPU,2,1000,100000,2,0.046
GPU,4,1000,100000,2,0.052
GPU,8,1000,100000,2,0.063
GPU,16,1000,100000,2,0.101
GPU,32,1000,100000,2,0.164
GPU,64,1000,100000,2,0.313
GPU,2,100,10000,4,0.00048
GPU,4,100,10000,4,0.000643
GPU,8,100,10000,4,0.001
GPU,16,100,10000,4,0.001
GPU,32,100,10000,4,0.003
GPU,64,100,10000,4,0.006
GPU,2,500,10000,4,0.002
GPU,4,500,10000,4,0.003
GPU,8,500,10000,4,0.005
GPU,16,500,10000,4,0.009
GPU,32,500,10000,4,0.017
GPU,64,500,10000,4,0.035
GPU,2,1000,10000,4,0.004
GPU,4,1000,10000,4,0.006
GPU,8,1000,10000,4,0.01
GPU,16,1000,10000,4,0.018
GPU,32,1000,10000,4,0.035
GPU,64,1000,10000,4,0.069
GPU,2,100,20000,4,0.001
GPU,4,100,20000,4,0.001
GPU,8,100,20000,4,0.002
GPU,16,100,20000,4,0.003
GPU,32,100,20000,4,0.006
GPU,64,100,20000,4,0.013
GPU,2,500,20000,4,0.004
GPU,4,500,20000,4,0.006
GPU,8,500,20000,4,0.009
GPU,16,500,20000,4,0.017
GPU,32,500,20000,4,0.034
GPU,64,500,20000,4,0.068
GPU,2,1000,20000,4,0.009
GPU,4,1000,20000,4,0.012
GPU,8,1000,20000,4,0.019
GPU,16,1000,20000,4,0.035
GPU,32,1000,20000,4,0.069
GPU,64,1000,20000,4,0.137
GPU,2,100,50000,4,0.002
GPU,4,100,50000,4,0.004
GPU,8,100,50000,4,0.004
GPU,16,100,50000,4,0.008
GPU,32,100,50000,4,0.017
GPU,64,100,50000,4,0.033
GPU,2,500,50000,4,0.013
GPU,4,500,50000,4,0.022
GPU,8,500,50000,4,0.027
GPU,16,500,50000,4,0.044
GPU,32,500,50000,4,0.086
GPU,64,500,50000,4,0.17
GPU,2,1000,50000,4,0.027
GPU,4,1000,50000,4,0.044
GPU,8,1000,50000,4,0.054
GPU,16,1000,50000,4,0.09
GPU,32,1000,50000,4,0.173
GPU,64,1000,50000,4,0.341
GPU,2,100,100000,4,0.005
GPU,4,100,100000,4,0.007
GPU,8,100,100000,4,0.011
GPU,16,100,100000,4,0.018
