Device,Time,Memory,Order,NSamples,NTraces,"NLabels, type"
CPU,0.00414730054954205,7572112,2,50,10000,1 scalar label
CPU,0.00428362132446352,7612112,2,50,50000,1 scalar label
CPU,0.00467438650561798,7662096,2,50,100000,1 scalar label
CPU,0.00549815915088106,7762064,2,50,200000,1 scalar label
CPU,0.00857616787972509,8062096,2,50,500000,1 scalar label
CPU,0.00528430606031746,9640784,2,100,10000,1 scalar label
CPU,0.005708564384,9680784,2,100,50000,1 scalar label
CPU,0.00646665586545925,9730768,2,100,100000,1 scalar label
CPU,0.00832471295333333,9830736,2,100,200000,1 scalar label
CPU,0.0147954488609467,10130768,2,100,500000,1 scalar label
CPU,0.00737526261447563,9640784,2,1000,10000,1 scalar label
CPU,0.0158503832088608,9680784,2,1000,50000,1 scalar label
CPU,0.0261943258115183,9730768,2,1000,100000,1 scalar label
CPU,0.0397200117619048,9830736,2,1000,200000,1 scalar label
CPU,0.0765444347424243,10130768,2,1000,500000,1 scalar label
CPU,0.0104060188770833,9640784,2,2000,10000,1 scalar label
CPU,0.0281324232191011,9680784,2,2000,50000,1 scalar label
CPU,0.0405117281370968,9730768,2,2000,100000,1 scalar label
CPU,0.0646675218974359,9830736,2,2000,200000,1 scalar label
CPU,0.142219693416667,10130768,2,2000,500000,1 scalar label
CPU,0.0219854543245614,9640784,2,5000,10000,1 scalar label
CPU,0.0494620149313726,9680784,2,5000,50000,1 scalar label
CPU,0.0827658938360656,9730768,2,5000,100000,1 scalar label
CPU,0.1460845952,9830736,2,5000,200000,1 scalar label
CPU,0.342768131133333,10130768,2,5000,500000,1 scalar label
CPU,0.0354195672567568,9640784,2,10000,10000,1 scalar label
CPU,0.0902202074642857,9680784,2,10000,50000,1 scalar label
CPU,0.152060914545455,9730768,2,10000,100000,1 scalar label
CPU,0.273587317052632,9830736,2,10000,200000,1 scalar label
CPU,0.639039747,10130768,2,10000,500000,1 scalar label
CPU,0.00414172849668325,7572112,4,50,10000,1 scalar label
CPU,0.00450609641155235,7612112,4,50,50000,1 scalar label
CPU,0.00498213322355289,7662096,4,50,100000,1 scalar label
CPU,0.00607594246415553,7762064,4,50,200000,1 scalar label
CPU,0.00979032924901961,8062096,4,50,500000,1 scalar label
CPU,0.00540212362445888,9640784,4,100,10000,1 scalar label
CPU,0.00599955309134615,9680784,4,100,50000,1 scalar label
CPU,0.00700918743539326,9730768,4,100,100000,1 scalar label
CPU,0.00952021226666667,9830736,4,100,200000,1 scalar label
CPU,0.0176359820422535,10130768,4,100,500000,1 scalar label
CPU,0.00915640706764168,9640784,4,1000,10000,1 scalar label
CPU,0.0190394165703422,9680784,4,1000,50000,1 scalar label
CPU,0.0327481123660131,9730768,4,1000,100000,1 scalar label
CPU,0.0505027681414142,9830736,4,1000,200000,1 scalar label
CPU,0.098084060882353,10130768,4,1000,500000,1 scalar label
CPU,0.0150703643674699,9640784,4,2000,10000,1 scalar label
CPU,0.0362394198768116,9680784,4,2000,50000,1 scalar label
CPU,0.0521328117604167,9730768,4,2000,100000,1 scalar label
CPU,0.0849747634745763,9830736,4,2000,200000,1 scalar label
CPU,0.188383081925926,10130768,4,2000,500000,1 scalar label
CPU,0.0329372537697368,9640784,4,5000,10000,1 scalar label
CPU,0.0673129775333333,9680784,4,5000,50000,1 scalar label
CPU,0.113556977511111,9730768,4,5000,100000,1 scalar label
CPU,0.1963745995,9830736,4,5000,200000,1 scalar label
CPU,0.45109814375,10130768,4,5000,500000,1 scalar label
CPU,0.0555167486813187,9640784,4,10000,10000,1 scalar label
CPU,0.129278546179487,9680784,4,10000,50000,1 scalar label
CPU,0.20592193324,9730768,4,10000,100000,1 scalar label
CPU,0.382183021428571,9830736,4,10000,200000,1 scalar label
CPU,0.869461789,10130768,4,10000,500000,1 scalar label
CPU,0.00429095234909716,7572112,8,50,10000,1 scalar label
CPU,0.00492416141913215,7612112,8,50,50000,1 scalar label
CPU,0.00565214651642129,7662096,8,50,100000,1 scalar label
CPU,0.00725846909593023,7762064,8,50,200000,1 scalar label
CPU,0.0123309968123457,8062096,8,50,500000,1 scalar label
CPU,0.0057725056930126,9640784,8,100,10000,1 scalar label
CPU,0.00683099087295082,9680784,8,100,50000,1 scalar label
CPU,0.00835794145652174,9730768,8,100,100000,1 scalar label
CPU,0.0117079876838408,9830736,8,100,200000,1 scalar label
CPU,0.0225301692567568,10130768,8,100,500000,1 scalar label
CPU,0.0140698193746479,9640784,8,1000,10000,1 scalar label
CPU,0.028308170440678,9680784,8,1000,50000,1 scalar label
CPU,0.0442408782389381,9730768,8,1000,100000,1 scalar label
CPU,0.0677239094054054,9830736,8,1000,200000,1 scalar label
CPU,0.138500078756757,10130768,8,1000,500000,1 scalar label
CPU,0.0244376745512195,9640784,8,2000,10000,1 scalar label
CPU,0.0498502141584158,9680784,8,2000,50000,1 scalar label
CPU,0.0726246607536232,9730768,8,2000,100000,1 scalar label
CPU,0.120258572380952,9830736,8,2000,200000,1 scalar label
CPU,0.264970232526316,10130768,8,2000,500000,1 scalar label
CPU,0.0538913672043011,9640784,8,5000,10000,1 scalar label
CPU,0.1055067488125,9680784,8,5000,50000,1 scalar label
CPU,0.170168925733333,9730768,8,5000,100000,1 scalar label
CPU,0.280811619055556,9830736,8,5000,200000,1 scalar label
CPU,0.629305649375,10130768,8,5000,500000,1 scalar label
CPU,0.102786082408163,9640784,8,10000,10000,1 scalar label
