Device,Order,NSamples,NTraces,NLabels,Time
CPU,2,100,20000,2,0.0022722126088544044
CPU,4,100,20000,2,0.002552453490788127
CPU,8,100,20000,2,0.005494146639163916
CPU,16,100,20000,2,0.011138975113839286
CPU,32,100,20000,2,0.01713588465292096
CPU,2,200,20000,2,0.003326145711333334
CPU,4,200,20000,2,0.0035922264002879773
CPU,8,200,20000,2,0.004370425131463629
CPU,16,200,20000,2,0.007519293490963856
CPU,32,200,20000,2,0.015406596604938273
CPU,2,400,20000,2,0.005391251543783784
CPU,4,400,20000,2,0.006092198200488998
CPU,8,400,20000,2,0.008008403520064206
CPU,16,400,20000,2,0.012264109071253072
CPU,32,400,20000,2,0.03192088171794872
CPU,2,800,20000,2,0.009697818171206227
CPU,4,800,20000,2,0.01084757305652174
CPU,8,800,20000,2,0.014084225313559323
CPU,16,800,20000,2,0.02171197878165939
CPU,32,800,20000,2,0.055357641722222226
CPU,2,1600,20000,2,0.01812985137090909
CPU,4,1600,20000,2,0.02080896017573222
CPU,8,1600,20000,2,0.02653931425531915
CPU,16,1600,20000,2,0.04426403177678572
CPU,32,1600,20000,2,0.11155555475000001
CPU,2,100,20000,4,0.003439506805651275
CPU,4,100,20000,4,0.0036439557246165087
CPU,8,100,20000,4,0.011350492492027336
CPU,16,100,20000,4,0.021935515696035246
CPU,32,100,20000,4,0.03604749536956522
CPU,2,200,20000,4,0.004769651914913959
CPU,4,200,20000,4,0.005541521728079911
CPU,8,200,20000,4,0.008778469342706504
CPU,16,200,20000,4,0.022658390163636365
CPU,32,200,20000,4,0.057533637011627906
CPU,2,400,20000,4,0.00840333263973064
CPU,4,400,20000,4,0.009665120488372094
CPU,8,400,20000,4,0.014998728414414415
CPU,16,400,20000,4,0.03975659844
CPU,32,400,20000,4,0.1084605242173913
CPU,2,800,20000,4,0.015158772252279637
CPU,4,800,20000,4,0.01831978066911765
CPU,8,800,20000,4,0.027551751596685083
CPU,16,800,20000,4,0.08200748106666667
CPU,32,800,20000,4,0.22426593204545456
CPU,2,1600,20000,4,0.029422662964497043
CPU,4,1600,20000,4,0.03611888264492754
CPU,8,1600,20000,4,0.05585895538202247
CPU,16,1600,20000,4,0.1559198054375
CPU,32,1600,20000,4,0.4062578746666667
CPU,2,100,20000,8,0.005418274091205212
CPU,4,100,20000,8,0.0055845334765100675
CPU,8,100,20000,8,0.01890661584848485
CPU,16,100,20000,8,0.03677087259259259
CPU,32,100,20000,8,0.06866573943055555
